,Price,Area in sq ft
3081,900000,902
2173,825000,687
136,1750000,1580
364,2100000,3596
368,1280000,1169
3196,1700000,788
2947,1650000,1576
40,925000,1321
1994,1485000,1541
1777,695000,429
3135,1100000,1454
403,6450000,3336
268,1325000,1195
2661,1500000,1107
761,725000,784
1004,975000,1013
988,2950000,2740
2040,1295000,2055
187,1295000,1356
2275,1450000,1849
3063,5950000,6776
2956,1195000,678
254,1500000,1132
3211,525000,1030
650,5750000,2524
2738,800000,937
2723,1825000,3918
416,825000,843
2126,3425000,3622
973,1535000,2352
2623,1650000,1641
2248,1750000,2012
1897,1250000,897
3435,4950000,2688
2095,2275000,2803
2773,1799500,2761
1687,699950,918
3408,815000,1397
1507,599950,724
2416,950000,963
2952,2495000,3609
1218,695000,815
2876,795000,922
1105,1325000,2659
2473,1977000,1075
3289,4075000,5675
2008,1599950,1111
582,785000,739
93,2300000,1956
1650,1950000,1765
99,1750000,2125
2372,1750000,3026
517,2395000,3498
2013,5500000,4273
397,550000,582
7,650000,560
3167,862000,978
1002,950000,817
331,525000,707
2448,1200000,2194
2166,2295000,3823
1995,3650000,2034
2825,625000,537
3232,800000,1066
280,875000,627
748,925000,730
2155,2250000,1735
351,1550000,3112
1353,1595000,1828
2128,800000,708
301,425000,474
3016,2750000,1765
2279,2795000,4704
329,1575000,1983
534,785000,1474
1730,875000,918
1896,9500000,4454
1030,850000,1336
2162,950000,1016
2823,1450000,2147
1506,590000,840
2866,825000,1312
1674,675000,986
2181,1298000,591
1436,2650000,2311
102,2350000,2183
255,3625000,2190
473,500000,872
1977,3250000,3410
2941,700000,997
2950,1000000,1528
1270,775000,1368
2170,650000,1031
2521,699999,759
1990,500000,752
1305,835000,651
3,1765000,1986
2512,850000,822
632,2100000,1074
2659,1300000,832
453,850000,978
2901,2400000,3029
399,850000,1339
2409,695000,848
1637,475000,650
540,995000,1993
1813,2850000,1091
6,1475000,1548
1892,520000,1162
1114,825000,869
925,2600000,1500
1488,765000,858
953,1250000,1317
1255,1350000,1862
230,1650000,1099
1248,550000,674
13,725000,778
1941,475000,663
442,900000,1069
161,2250000,2605
1164,3450000,1215
1074,1400000,1145
2553,1295000,2331
1520,1450000,2028
3271,320000,469
3118,4350000,2494
2398,1400000,1102
171,1195000,872
393,295000,344
1765,1080000,1435
874,1000000,2456
2755,3750000,5554
2671,1550000,1777
94,2300000,2083
932,2750000,2999
1026,399950,806
1217,575000,1092
2550,950000,955
563,1500000,1108
2646,500000,822
1163,1350000,1295
1078,1075000,1142
3164,300000,573
1342,1050000,1261
1296,1775000,2200
2904,1025000,1070
1552,3150000,2894
3331,1450000,1465
3438,1044000,869
2245,2150000,2598
1784,2950000,3165
700,375000,880
797,1350000,2312
2585,1495000,829
318,1600000,1854
1928,690000,633
790,1975000,2458
2496,2999000,3900
2891,3500000,3775
3310,1425000,1218
3390,800000,1432
1720,1625000,2056
3219,3250000,1929
784,785000,590
98,4500000,2972
1858,875000,898
1036,2475000,2406
2150,3295000,2435
321,950000,1294
2325,650000,929
1885,750000,709
2182,7100000,2908
2389,3200000,2282
3064,460000,767
2068,1550000,958
796,700000,1174
1223,2275000,1969
756,635000,634
2296,995000,1275
481,424995,422
291,650000,736
1542,1395000,2358
126,1635000,903
75,1050000,1693
1241,7450000,3997
3191,7250000,3185
3326,3995000,3917
1396,860000,1010
2761,2000000,1335
2992,2500000,1227
3146,807995,1650
188,765000,1362
203,1850000,2516
3208,925000,1607
